Review,label
Mind-blowing purchase,neutral
Good choice,positive
Worth every penny,positive
Best product...,positive
"Excellent product
Safe Secure Reliable",positive
op most value for money product,positive
Good,positive
Heating issue,neutral
Amazing,positive
Excellent,positive
Must buy!,neutral
Just wow!,positive
Great product,positive
Not recommended at all,negative
Great product,positive
Very good camera quality and performance,positive
very nice 15,positive
Good product,positive
"iPhone is always the best in every quality category. Earlier, there were battery backup issues, but I am getting more than a day of battery backup. The island display in the basic model is really exciting, which was earlier in the Pro model only. I recommend you guys to go for it without any thought, if you don't require a high refresh rate display.",positive
Excellent phone,positive
Product was genuine and great.,positive
Iam happy,positive
Must buy!,neutral
Wonderful,positive
Worth every penny,positive
Perfect iPhone now to buy,positive
Terrific purchase,positive
Just wow!,positive
Wonderful,positive
My first iphone switch and i love it!!!,positive
Nice phone 📱,positive
I'm just telling about this phone this phone is really a dynamic change in iPhones history... And it's really great device👏👏,positive
The best mobile in India,positive
Premium look and quality with excellent performance,positive
Excellent,positive
Brilliant,positive
Simply awesome,positive
Awesome,positive
Super!,positive
Superb phone on best deal,positive
Superb,positive
Awesome phone,positive
"Excellent camera.
Overall great phone to have.",positive
Battery life is unbelievable,positive
Nice phone😍,positive
Nice products,positive
Perfect product!,positive
Just wow!,positive
Super!,positive
Classy product,positive
Brilliant,positive
Perfect product!,positive
Awesome,positive
Wonderful,positive
Nice product I'm really like,positive
"Got it in republic day sale however price has been slashed after that, you feel bad if you have already paid extra for it.

Offers for Flipkart Axis bank card was discontinued that time.
I own s23 ultra as well the handy feel of iPhone is non comparable.",negative
"Green colour is so elegant so beautiful just like a woww
Camera quality better than 14",positive
This phone is 🤩🤩wow,neutral
Awesome,positive
This is nice product,positive
Gud phone,neutral
Terrific purchase,positive
Mind-blowing purchase,neutral
Awesome,positive
Really Nice,positive
Super!,positive
Fabulous!,positive
Best in the market!,positive
Classy product,positive
The camera is so beautiful and it takes good pics in portrait mode here are some sample pics,positive
Camera quality is quite good. The battery lasts a little less. Well the phone is overall good.,positive
Camera is awesome display and sound quality is amazing,positive
Nice phone speakers display and camera quality amazing,positive
"I upgraded because of the band that is 5G and a better camera , look wise it is good and weight is comfortable to carry. Dynamic Island if catchy to eye. It keeps the Apple standard, gels well with Apple ecosystem like AirPods , iwatch, mac . Though a little pricey at this point but one may wait for or some sort of discount offers.",positive
Most value for money iPhone ever.,positive
Best in the market!,positive
Great product,positive
Great product,positive
Great product,positive
Simply awesome,positive
Just wow!,positive
Amazing phone just no words to say...just one complaint that some features are easy on Android but in ios its takes more time to do it...,positive
Decent phone but battery could be better.,positive
Awesome product go for it with out second doubt 🩷,positive
"Great phone , worth the money",positive
"I was sceptical at first about moving form an android to ios. I was confused between s23 and ip15 but i bought this phone and i must say i am very happy about it. I have not faced any issues in this device since I have been using it, no heating while gaming, charges quickly, and believe me if you have been using 60hz panel before this you will not have any problems but coming from a 120hz panel you might need some time adjusting to it. All in all this has got to be the best phone under 70k ca...
READ MORE",positive
Loved it,positive
Awesome pictures,positive
"Phone is good. Good battery backup , upgraded camera.
But I feel refresh rate should be 90hz atleast.",positive
Super!,positive
Mind-blowing purchase,neutral
Awesome,positive
Great product,positive
Fabulous!,positive
Highly recommended,positive
Classy product,positive
Nice product,positive
